task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
36	f1/f2da00	46137968	LDCALCULATION_sortlocus (34)	COMPLETED	0	2023-04-03 13:37:28.767	7.9s	71ms	29.0%	0	0	109.4 KB	14.2 KB
37	a4/30c081	46137969	LDCALCULATION_sortlocus (35)	COMPLETED	0	2023-04-03 13:37:28.837	7.9s	68ms	28.8%	0	0	99 KB	6.4 KB
38	d8/203099	46137970	LDCALCULATION_sortlocus (36)	COMPLETED	0	2023-04-03 13:37:28.887	7.9s	67ms	19.5%	0	0	100.8 KB	7.8 KB
40	2b/f95a06	46137971	LDCALCULATION_sortlocus (38)	COMPLETED	0	2023-04-03 13:37:28.934	7.9s	77ms	28.9%	0	0	106.6 KB	12 KB
39	fb/d2e135	46137972	LDCALCULATION_sortlocus (37)	COMPLETED	0	2023-04-03 13:37:28.997	7.8s	96ms	29.9%	0	0	107.7 KB	12.6 KB
41	23/bccb0c	46137973	LDCALCULATION_sortlocus (39)	COMPLETED	0	2023-04-03 13:37:29.076	7.8s	84ms	34.4%	0	0	97.7 KB	5.1 KB
42	23/00d418	46137974	LDCALCULATION_sortlocus (40)	COMPLETED	0	2023-04-03 13:37:29.138	7.8s	105ms	25.5%	0	0	115.7 KB	18.6 KB
43	f6/45a629	46137975	LDCALCULATION_sortlocus (41)	COMPLETED	0	2023-04-03 13:37:29.211	7.7s	109ms	31.7%	0	0	190.4 KB	91.5 KB
44	77/68b517	46137976	LDCALCULATION_sortlocus (42)	COMPLETED	0	2023-04-03 13:37:29.264	7.7s	92ms	35.0%	0	0	99.1 KB	6.1 KB
45	1c/73d889	46137977	LDCALCULATION_sortlocus (43)	COMPLETED	0	2023-04-03 13:37:29.308	7.7s	101ms	32.9%	0	0	109.1 KB	13.7 KB
46	82/6874c9	46137978	LDCALCULATION_sortlocus (44)	COMPLETED	0	2023-04-03 13:37:29.355	7.7s	101ms	35.9%	0	0	105.9 KB	11.3 KB
47	8b/7bcde4	46137979	LDCALCULATION_sortlocus (45)	COMPLETED	0	2023-04-03 13:37:29.397	7.7s	33ms	29.3%	0	0	119.3 KB	21.4 KB
48	ff/e1942f	46137980	LDCALCULATION_sortlocus (46)	COMPLETED	0	2023-04-03 13:37:29.444	7.7s	85ms	25.0%	0	0	136.3 KB	37.5 KB
49	17/4875fa	46137981	LDCALCULATION_sortlocus (47)	COMPLETED	0	2023-04-03 13:37:29.482	7.7s	88ms	25.4%	0	0	124.3 KB	25.4 KB
50	3b/c14cac	46137982	LDCALCULATION_sortlocus (48)	COMPLETED	0	2023-04-03 13:37:29.533	7.7s	84ms	32.1%	0	0	104 KB	9.9 KB
51	c4/e3c775	46137983	LDCALCULATION_sortlocus (49)	COMPLETED	0	2023-04-03 13:37:29.576	7.7s	95ms	31.8%	0	0	282.8 KB	183.9 KB
52	dd/19ccce	46137984	LDCALCULATION_sortlocus (50)	COMPLETED	0	2023-04-03 13:37:29.649	7.7s	77ms	27.9%	0	0	132.2 KB	34.1 KB
53	3a/9a032d	46137985	LDCALCULATION_sortlocus (51)	COMPLETED	0	2023-04-03 13:37:29.687	7.7s	70ms	28.2%	0	0	101.8 KB	8.8 KB
54	f2/baa0ef	46137986	LDCALCULATION_sortlocus (52)	COMPLETED	0	2023-04-03 13:37:29.728	7.7s	86ms	27.9%	0	0	115.7 KB	19.2 KB
55	9b/041f45	46137987	LDCALCULATION_sortlocus (53)	COMPLETED	0	2023-04-03 13:37:29.778	7.7s	84ms	27.9%	0	0	99 KB	6.7 KB
57	c0/057ea6	46137988	LDCALCULATION_sortlocus (55)	COMPLETED	0	2023-04-03 13:37:29.838	7.7s	74ms	37.0%	0	0	101.2 KB	8.3 KB
56	06/03aba2	46137989	LDCALCULATION_sortlocus (54)	COMPLETED	0	2023-04-03 13:37:29.876	7.6s	90ms	26.5%	0	0	120.6 KB	22.4 KB
58	f6/aa2bc2	46137990	LDCALCULATION_sortlocus (56)	COMPLETED	0	2023-04-03 13:37:29.911	7.7s	88ms	33.2%	0	0	102.7 KB	8.9 KB
59	06/3473e7	46137991	LDCALCULATION_sortlocus (57)	COMPLETED	0	2023-04-03 13:37:29.965	7.6s	84ms	22.8%	0	0	126.9 KB	28 KB
60	41/518dd0	46137992	LDCALCULATION_sortlocus (58)	COMPLETED	0	2023-04-03 13:37:30.012	7.6s	84ms	30.0%	0	0	97.6 KB	5.1 KB
61	09/a22a8c	46137993	LDCALCULATION_sortlocus (59)	COMPLETED	0	2023-04-03 13:37:30.559	34.4s	93ms	25.9%	0	0	115 KB	18 KB
62	5f/dfa260	46137994	LDCALCULATION_sortlocus (60)	COMPLETED	0	2023-04-03 13:37:30.605	34.4s	105ms	25.2%	0	0	145.8 KB	46.7 KB
63	c5/fc6289	46137995	LDCALCULATION_sortlocus (61)	COMPLETED	0	2023-04-03 13:37:30.670	34.4s	85ms	26.7%	0	0	112.5 KB	16.2 KB
64	77/e00636	46137996	LDCALCULATION_sortlocus (62)	COMPLETED	0	2023-04-03 13:37:30.728	34.4s	87ms	26.6%	0	0	101.3 KB	7.8 KB
65	89/9b44b0	46137997	LDCALCULATION_sortlocus (63)	COMPLETED	0	2023-04-03 13:37:30.809	34.3s	87ms	26.3%	0	0	160.1 KB	61.1 KB
67	55/38293a	46137998	LDCALCULATION_sortlocus (65)	COMPLETED	0	2023-04-03 13:37:30.867	34.3s	92ms	26.8%	0	0	109.8 KB	14.1 KB
66	e9/11a568	46137999	LDCALCULATION_sortlocus (64)	COMPLETED	0	2023-04-03 13:37:30.928	34.3s	77ms	25.7%	0	0	98.2 KB	5.5 KB
68	93/d106e6	46138000	LDCALCULATION_sortlocus (66)	COMPLETED	0	2023-04-03 13:37:30.991	34.3s	72ms	27.9%	0	0	122.2 KB	23.4 KB
